source,target
115424,155312
115424,115264
115424,24630
115424,75986
90551,3826
42919,95272
115424,128328
115424,68161
115424,171945
115424,187099
115424,141849
42550,91642
115424,92554
115424,141832
43363,94025
115424,92154
115424,115419
115424,115707
115424,115420
126842,177402
122214,141702
115424,123912
146563,141702
59340,32464
177137,186578
78089,90708
25553,25559
115424,121628
115424,169633
108620,120168
59340,183841
115424,24792
126842,91704
115424,39465
146563,119494
115424,119445
115424,52385
115424,52296
115424,90910
42550,90703
146563,24195
25553,165016
97897,52102
125554,119494
125554,141702
97897,98073
25553,95323
115424,16841
177137,14885
25553,25560
43363,130715
132413,160140
42919,59020
115424,128325
115424,22017
59170,15741
115424,68225
115424,14731
27486,38812
91354,75922
78089,4336
42550,18230
42919,89613
91517,95245
97897,92061
115424,39472
97897,155312
177137,172030
115424,106417
146563,93512
146563,155312
122214,90913
115424,119405
132413,90703
132413,177029
177137,32464
177137,95272
146563,95271
78089,93245
78089,176700
125554,155312
42919,171901
115424,16842
115424,42911
59340,90560
125554,30866
43363,144979
115424,131732
115424,29003
177137,177372
115424,16190
115424,125142
97897,94504
59340,14869
59170,95271
115424,106398
97897,141702
108620,79258
115424,22021
115424,92268
97897,189418
78089,130768
122214,119494
115424,176349
122214,64805
97897,69625
126842,94018
115424,22913
78089,4340
95678,95323
108620,105125
91517,182768
115424,128321
59340,151262
91517,154101
72739,177153
122214,24066
126842,18909
93945,79270
43363,90708
115424,22917
115424,24726
30711,46782
97897,71595
97897,193469
115424,29052
115424,131742
59170,147453
122214,27525
42919,14694
42550,132421
94145,133752
90551,92486
125554,91116
115424,125090
42919,75476
97897,14711
97897,13487
115424,21994
124935,14815
132413,94107
4928,190653
59340,128328
97897,97873
115424,171918
115424,68199
97897,63951
132413,132700
108620,108880
97897,52116
78089,5550
176684,27469
43363,130720
115424,182832
132413,94103
97897,18008
115424,119396
42550,95271
97897,119494
125554,123912
115424,59899
97897,39465
177137,14869
91354,92549
30711,119494
97897,57268
115424,52325
122214,155312
115424,57169
93945,36751
115424,24997
193606,147297
122214,24195
115424,155407
115424,90613
97897,24726
115424,16846
126842,147297
115424,128319
32043,95271
32043,16100
145577,172240
91312,141702
91312,119494
189821,177160
32043,32038
155085,155312
91312,155312
155085,119494
189821,141702
102581,26448
189821,177153
91312,92175
145577,116303
145577,172237
32043,127075
26377,26448
91312,177153
32043,155312
189821,34513
173200,3859
189821,119494
155085,141702
189821,92752
189821,92175
32043,32222
173200,31902
177310,91704
19010,32464
120850,93700
102581,27491
189821,155312
177310,177402
91312,26448
32043,177267
145577,20234
32043,83293
91312,119420
32043,31864
189821,190957
32043,4461
189821,128328
36953,24040
78631,92665
91312,30866
32043,119494
102581,102589
189821,92384
155085,119396
32043,177029
4820,93679
32043,141702
133537,182832
189821,179474
193579,75922
4820,18944
91312,90913
177310,93872
91312,119405
177633,34513
4820,16617
78631,78632
177037,34747
32043,6051
102581,119494
19010,59340
189821,89613
173200,81759
177310,45726
32043,127441
19010,183841
189821,128232
32043,32071
93792,14814
4820,57662
32043,119396
120850,120856
4820,27121
